"method","source","coding","estimand","pfs_mean","pfs_median","pfs_lo","pfs_hi","os_mean","os_median","os_lo","os_hi","N_target_pfs","ess0_pfs","ceiling_pfs","N_target_os","ess0_os","ceiling_os"
"KM (unadjusted)","paper (Table rmst-results, posterior median)","orig","rmst",NA,1.02,0.85,1.22,NA,0.9,0.79,1.03,NA,NA,NA,NA,NA,NA
"AFT, complete pooling","paper (Table rmst-results, posterior median)","orig","rmst",NA,1.03,0.71,1.61,NA,0.9,0.71,1.17,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.5)","paper (Table rmst-results, posterior median)","orig","rmst",NA,1.21,0.73,2.68,NA,1.18,0.77,1.89,NA,NA,NA,NA,NA,NA
"Standard BART","paper (Table rmst-results, posterior median)","orig","rmst",NA,1.06,0.79,1.51,NA,0.9,0.76,1.08,NA,NA,NA,NA,NA,NA
"MAP-AFT-BART (N_target = 30)","paper (Table rmst-results, posterior median)","orig","rmst",NA,1.08,0.66,16.4,NA,0.97,0.74,4.77,NA,NA,NA,NA,NA,NA
"MAP-AFT-BART (N_target = 22.5)","paper (Table rmst-results, posterior median)","orig","rmst",NA,1.09,0.65,21.8,NA,0.98,0.73,5.55,NA,NA,NA,NA,NA,NA
"MAP-AFT-BART (N_target = 15)","paper (Table rmst-results, posterior median)","orig","rmst",NA,1.1,0.65,32.8,NA,1,0.73,7.22,NA,NA,NA,NA,NA,NA
"KM (unadjusted)","rerun (Yunxuan's scripts, or lrcbart for BART)","none","rmst",NA,1.015,0.8446,1.22,NA,0.9015,0.7859,1.034,NA,NA,NA,NA,NA,NA
"AFT, complete pooling","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","rmst",1.063,1.026,0.7319,1.609,0.909,0.9027,0.7054,1.16,NA,NA,NA,NA,NA,NA
"AFT, complete pooling","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","med",1.454,1.257,0.4396,3.642,0.8848,0.7741,0.2808,2.094,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.05)","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","rmst",1.125,1.097,0.7408,1.722,1.044,0.9998,0.7725,1.472,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.05)","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","med",1.795,1.189,0.2038,6.812,1.154,0.6553,0.135,3.627,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.5)","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","rmst",1.358,1.237,0.7016,2.656,1.325,1.248,0.7735,2.339,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.5)","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","med",17720,1.234,0.00552,96.43,105,0.7013,0.008164,102.2,NA,NA,NA,NA,NA,NA
"Standard BART (lrcbart plain AFT-BART, 50 trees)","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","rmst",1.085,1.06,0.8015,1.502,0.9108,0.9064,0.7665,1.085,NA,NA,NA,NA,NA,NA
"Standard BART (lrcbart plain AFT-BART, 50 trees)","rerun (Yunxuan's scripts, or lrcbart for BART)","orig","med",1.694,1.482,0.5637,4.229,0.6771,0.5835,0.2086,1.719,NA,NA,NA,NA,NA,NA
"AFT, complete pooling","rerun (Yunxuan's scripts, or lrcbart for BART)","harm","rmst",0.872,0.8713,0.6921,1.062,0.8009,0.8041,0.645,0.9426,NA,NA,NA,NA,NA,NA
"AFT, complete pooling","rerun (Yunxuan's scripts, or lrcbart for BART)","harm","med",0.8497,0.7974,0.394,1.661,0.4748,0.451,0.2076,0.8931,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.05)","rerun (Yunxuan's scripts, or lrcbart for BART)","harm","rmst",1.047,1.033,0.7603,1.392,1.001,0.9667,0.7629,1.415,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.05)","rerun (Yunxuan's scripts, or lrcbart for BART)","harm","med",1.194,1.013,0.3534,3.1,0.7467,0.5292,0.1622,1.915,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.5)","rerun (Yunxuan's scripts, or lrcbart for BART)","harm","rmst",1.225,1.208,0.7366,1.895,1.214,1.192,0.7651,1.697,NA,NA,NA,NA,NA,NA
"AFT, hierarchical (s2 = 0.5)","rerun (Yunxuan's scripts, or lrcbart for BART)","harm","med",156.8,0.987,0.03439,27.56,3229,0.5505,0.01696,15.56,NA,NA,NA,NA,NA,NA
