"scenario","bin","map","g","n","mid"
"Sc4_X5_d0.5","[-0.5,0]",0.813616438356164,-0.201956748719295,73,-0.25
"Sc4_X5_d1","[-0.5,0]",0.471342465753425,-0.581028965973638,73,-0.25
"Sc4_X5_d2","[-0.5,0]",0.0165890410958904,-1.83825790121792,73,-0.25
"Sc5_d2","[-0.5,0]",0.0199178082191781,-1.97240765779279,73,-0.25
"Sc4_X5_d0.5","(0,0.5]",0.822993902439024,-0.180591526482926,164,0.25
"Sc4_X5_d1","(0,0.5]",0.451067073170732,-0.599712173392274,164,0.25
"Sc4_X5_d2","(0,0.5]",0.0214512195121951,-1.79840607080289,164,0.25
"Sc5_d2","(0,0.5]",0.0230853658536586,-1.97339285888638,164,0.25
"Sc4_X5_d0.5","(0.5,1]",0.824552197802198,-0.177920234273341,364,0.75
"Sc4_X5_d1","(0.5,1]",0.459541208791209,-0.597844541129227,364,0.75
"Sc4_X5_d2","(0.5,1]",0.0178296703296703,-1.85094635879588,364,0.75
"Sc5_d2","(0.5,1]",0.0171401098901099,-1.97289422542843,364,0.75
"Sc4_X5_d0.5","(1,1.5]",0.82649358974359,-0.178475976223528,624,1.25
"Sc4_X5_d1","(1,1.5]",0.470173076923077,-0.574725013992155,624,1.25
"Sc4_X5_d2","(1,1.5]",0.0176330128205128,-1.80105402383786,624,1.25
"Sc5_d2","(1,1.5]",0.0089775641025641,-1.99328550492687,624,1.25
"Sc4_X5_d0.5","(1.5,2]",0.837439374185137,-0.191564701739041,767,1.75
"Sc4_X5_d1","(1.5,2]",0.51902998696219,-0.511610251344584,767,1.75
"Sc4_X5_d2","(1.5,2]",0.0742242503259453,-1.65806033598854,767,1.75
"Sc5_d2","(1.5,2]",0.0073689700130378,-2.0113618431186,767,1.75
"Sc4_X5_d0.5","(2,2.5]",0.840331664580726,-0.17999244010762,799,2.25
"Sc4_X5_d1","(2,2.5]",0.587993742177722,-0.387752467695621,799,2.25
"Sc4_X5_d2","(2,2.5]",0.575872340425532,-0.441492396072611,799,2.25
"Sc5_d2","(2,2.5]",0.00729787234042551,-2.01813712037152,799,2.25
"Sc4_X5_d0.5","(2.5,3]",0.850954703832753,-0.154146988159285,574,2.75
"Sc4_X5_d1","(2.5,3]",0.65268118466899,-0.269684385501695,574,2.75
"Sc4_X5_d2","(2.5,3]",0.687447735191638,-0.172261614963283,574,2.75
"Sc5_d2","(2.5,3]",0.00963414634146341,-2.00927206464694,574,2.75
"Sc4_X5_d0.5","(3,3.5]",0.824379947229551,-0.144407538228791,379,3.25
"Sc4_X5_d1","(3,3.5]",0.633369393139842,-0.2570433160324,379,3.25
"Sc4_X5_d2","(3,3.5]",0.67634036939314,-0.133248718665038,379,3.25
"Sc5_d2","(3,3.5]",0.0123746701846966,-2.00808999300925,379,3.25
"Sc4_X5_d0.5","(3.5,4]",0.844206666666667,-0.135046763093673,150,3.75
"Sc4_X5_d1","(3.5,4]",0.643753333333333,-0.209487827036199,150,3.75
"Sc4_X5_d2","(3.5,4]",0.68762,-0.131969955625066,150,3.75
"Sc5_d2","(3.5,4]",0.0209466666666667,-1.97189687781105,150,3.75
"Sc4_X5_d0.5","(4,4.5]",0.883144927536232,-0.112354427926596,69,4.25
"Sc4_X5_d1","(4,4.5]",0.699492753623188,-0.201076565638811,69,4.25
"Sc4_X5_d2","(4,4.5]",0.750014492753623,-0.0288830382197692,69,4.25
"Sc5_d2","(4,4.5]",0.0186811594202899,-1.94720589832159,69,4.25
